epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.1687791503332798,0.02071462665873843,1.0738472868528879,0.008204009616214165
1,0.001,1.0191328182719113,0.15400532914549858,0.9476114904316565,0.24005849713493677
2,0.001,0.8936427251186246,0.26335596295094416,0.8001449409550204,0.30543981686411414
3,0.001,0.7524918138591292,0.3121771197188585,0.6780474936592638,0.343249967069987
4,0.001,0.6285437686380997,0.3601798168063359,0.5436397454478029,0.42910002347367443
5,0.001,0.558715832778831,0.38598457146861814,0.5731225119718331,0.35247626961265593
6,0.001,0.5040389696756998,0.4172840095657297,0.4621929639120864,0.46773871478574375
7,0.001,0.46745173740231133,0.4413033813658634,0.41740345240222687,0.49525003456338473
8,0.001,0.44258204199909384,0.4571048806251632,0.39913609123152194,0.5028793895513242
9,0.001,0.4184104942418391,0.4838603145032974,0.4119657296535436,0.5080224769843681
10,0.001,0.40046679174977967,0.4932272463398145,0.4428982473119826,0.47040881011000957
11,0.001,0.38705093681422714,0.5077828633653698,0.375217201221631,0.5240717277333138
12,0.001,0.36866412491969813,0.5284283019139765,0.3482833049620151,0.548676599745939
13,0.001,0.3613973611515332,0.5342980082335985,0.34845853231081564,0.5604314306430421
14,0.001,0.3475011629995957,0.5507975395462678,0.32925017272862095,0.5797546411931215
15,0.001,0.3390553124200285,0.5610526794623613,0.3276005615320719,0.5727511033661965
16,0.001,0.3369724331727994,0.5567170578390876,0.3349338250195222,0.5749153103098458
17,0.001,0.32866819485340243,0.5772491926633893,0.33229582237769495,0.5774292021045004
18,0.001,0.3146667645063276,0.5861208935633997,0.3406092321308752,0.5833181167272423
19,0.001,0.30804378904548346,0.5941561868110873,0.3069979851825397,0.6054663224550858
20,0.001,0.30305098328325486,0.5998331045510586,0.31375919498782756,0.5891402091017871
21,0.001,0.29682236461857564,0.6016606647496822,0.306872770652102,0.5896923289153394
22,0.001,0.2916158156262504,0.6132945440909535,0.33894964085123086,0.5838177544707099
23,0.001,0.2886713320523306,0.6168397965803183,0.30812607158649996,0.6202368746487906
24,0.001,0.2837045032993641,0.6202581871032168,0.3076118960563355,0.5963049092936636
25,0.001,0.27393589202874624,0.6359458362189122,0.29693274858725205,0.6181034792767495
26,0.001,0.2776834242094576,0.6286591767144983,0.302048061207107,0.6101609413007014
27,0.001,0.2669322054370556,0.6427305181276087,0.32596553276258033,0.5833851622648009
28,0.001,0.2655656711240999,0.6468922327891995,0.2990774600774196,0.6153541373038796
29,0.001,0.25899455584342185,0.6500343506459669,0.30506665953609724,0.6163980950053927
30,0.001,0.25664736320769865,0.6499701151761914,0.29826846709064714,0.5997421704758119
31,0.001,0.2537820045075385,0.6553509420019007,0.3150350748520302,0.6026981215499686
32,0.001,0.24803968884196936,0.6603032961985249,0.2966985177449262,0.6036091227000386
33,0.001,0.24585406394565806,0.6669299837879106,0.2977023175256676,0.6127184672359859
34,0.001,0.23826627715740328,0.6775519066929966,0.27551205288527647,0.6422144069998599
35,0.001,0.23662150324949252,0.6764215137489956,0.2818413619407822,0.6077940141904106
36,0.001,0.23203832475967656,0.6864601217025891,0.2914865461298148,0.6100704761920174
37,0.001,0.23356273078840542,0.6784672891341607,0.28792655881232965,0.6203061926365464
38,0.001,0.23054486206349203,0.6852786798703333,0.2723206380354833,0.6518548321497694
39,0.001,0.22073349454044516,0.6953583862231401,0.2855740447223284,0.6423828534646411
40,0.001,0.221002251932434,0.6941961989943052,0.2655139118189913,0.6552380605855873
41,0.001,0.21673068910642387,0.7031245594586439,0.2717117375495189,0.6407419983248414
42,0.001,0.2173311815055367,0.7038471672802808,0.2728895889701501,0.642048166442631
43,0.001,0.21248703089609644,0.7078298569413572,0.27024703901899194,0.6440846606675547
44,0.001,0.21094093057844374,0.7115010496703346,0.2789459354920255,0.6480359551483429
45,0.001,0.20995271722086115,0.7110627416747172,0.27298659708527134,0.654872817356996
46,0.001,0.2035131237280914,0.7174191022004337,0.26176257103341244,0.6684076995311041
47,0.001,0.19886851257163715,0.7231430718386149,0.26427106299174746,0.6608008288457023
48,0.001,0.19420918656720054,0.7312180506594601,0.26546173480751073,0.6576391946471972
49,0.001,0.19151366989012636,0.7357980036164292,0.2916055562348389,0.6427827129375854
50,0.001,0.1915019378553029,0.7340541743468394,0.25692644107594576,0.6686593231428057
51,0.001,0.18946096077074412,0.7351728572598029,0.2576758493752892,0.6626164508054148
52,0.001,0.18907615269710815,0.7383337351120227,0.2587930903835359,0.6684463593601647
53,0.001,0.18656186988345938,0.7403767332034553,0.27520543293112837,0.6553415094475785
54,0.001,0.18271252152576944,0.7467012058736325,0.25507078031731273,0.6723009326739464
55,0.001,0.18350117205599553,0.7459398161045524,0.2606125656776677,0.6717204304799187
56,0.001,0.18250003968383752,0.7493188478420176,0.2593376395850158,0.669268705640874
57,0.001,0.17532646178809647,0.7553207637660697,0.25867498645385756,0.6733136224581683
58,0.001,0.17232442067729103,0.7628377807938066,0.26877688165589997,0.6620431975687978
59,0.001,0.17355368583420522,0.7580895277257435,0.26693683361929355,0.6635862047005804
60,0.001,0.17267666611016966,0.760558031082556,0.264532105860469,0.6672059220424759
61,0.001,0.17117406359685014,0.7583399589280482,0.2665551611105342,0.671745673326162
62,0.001,0.16741338041093615,0.7653840181990145,0.25548376728815514,0.6725058415282041
63,0.001,0.16814900155550513,0.7656329324860479,0.27109879391422864,0.6664003466510132
64,0.001,0.1633204028399941,0.773724064907448,0.25837936661955196,0.6789319068347732
65,0.001,0.1630003130903431,0.772637490407454,0.260613256527588,0.6760033830514363
66,0.001,0.15767433810857387,0.7776268204421245,0.2546212970724308,0.6795889058257607
67,0.001,0.16303053016171737,0.7734598266285301,0.26069604703886085,0.6736657800409953
68,0.001,0.15798612070434234,0.7806968963286016,0.25644829796344576,0.6737335821557006
69,0.001,0.15680500670196185,0.7765821387061556,0.2586770933273371,0.6743887523766384
70,0.001,0.15594766498391144,0.780862026707947,0.26321550255693,0.6707554788076482
71,0.001,0.15342285026327457,0.7846770811578889,0.2561606287372832,0.6762859646767576
72,0.001,0.15529967907791822,0.783055212804081,0.26453357439056696,0.6697984779824433
73,0.001,0.15181986573669645,0.7877091387661916,0.26224967112937914,0.6700856625833466
74,0.001,0.1489861749745662,0.7892432578229012,0.25528654251946514,0.677301111553303
75,0.001,0.14679706164824416,0.7928913908223099,0.26266197765437466,0.6709978540485028
76,0.001,0.1482643972035327,0.7901948200940623,0.25969838663376565,0.674199536245711
77,0.001,0.14740218416927686,0.7920685104420149,0.25756921941265587,0.6786054732513607
78,0.001,0.14240613160959256,0.7966625937985757,0.2600898950271078,0.6776139249120421
79,0.001,0.14525272331985772,0.7926575017195066,0.2618994022952013,0.6764567167197546
80,0.001,0.14266150532399907,0.7967424652406603,0.2633426683373008,0.6739747466005982
81,0.001,0.14112484683982687,0.7962264131846086,0.2583501896111456,0.6756935884843068
82,0.001,0.13975601954982173,0.800745225804877,0.25864567219919327,0.6755375556571924
83,0.001,0.13808977798698774,0.8057970045381811,0.2626188562705894,0.6725816360108363
84,0.001,0.1450689651218115,0.7945089026180482,0.2573228875633943,0.6781980616528278
85,0.001,0.13802621279861413,0.8039390990630613,0.2601466771537289,0.6771517926998676
